"Date","201 RT","202 RT","203 RT","203A RT","204_1 RT","205 RT","206 RT","207_1 RT","210 RT"
"04/13/2025 12:00:00 AM","70.1","70.1","70.0","70.1","69.5","69.9","70.1","69.4","70.1"
"04/13/2025 12:15:00 AM","70.1","70.0","70.0","70.1","69.5","69.9","70.1","69.4","70.1"
"04/13/2025 12:30:00 AM","70.1","70.0","70.0","70.1","69.5","69.9","70.1","69.4","70.0"
"04/13/2025 12:45:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.1","69.3","70.0"
"04/13/2025 01:00:00 AM","70.1","70.0","69.9","70.2","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 01:15:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 01:30:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 01:45:00 AM","70.1","70.0","69.9","70.2","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 02:00:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.0","69.2","70.1"
"04/13/2025 02:15:00 AM","70.1","70.0","69.9","70.2","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 02:30:00 AM","70.1","70.0","69.9","70.2","69.4","69.9","70.1","69.2","70.0"
"04/13/2025 02:45:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 03:00:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.1","69.1","70.0"
"04/13/2025 03:15:00 AM","70.1","70.0","69.9","70.1","69.4","69.9","70.1","69.1","70.0"
"04/13/2025 03:30:00 AM","70.0","70.0","69.9","70.1","69.4","69.9","70.1","69.1","70.1"
"04/13/2025 03:45:00 AM","70.0","70.0","69.8","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 04:00:00 AM","70.0","70.0","69.8","70.0","69.4","69.9","70.1","69.1","70.0"
"04/13/2025 04:15:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.1","69.1","70.0"
"04/13/2025 04:30:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.2","70.0"
"04/13/2025 04:45:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 05:00:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 05:15:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 05:30:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 05:45:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.1","70.0"
"04/13/2025 06:00:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.2","70.0"
"04/13/2025 06:15:00 AM","70.0","70.0","69.9","69.9","69.4","69.9","70.0","69.3","70.0"
"04/13/2025 06:30:00 AM","70.0","70.0","69.9","70.0","69.4","69.9","70.0","69.3","70.0"
