"Date","101 RT","102_1 RT","102_2 RT","103 RT","104 RT","109 RT","110 RT","111_1 RT","111_2 RT","112_1 RT","112_2 RT","113 RT"
"04/27/2025 12:00:00 AM","" ,"70.0","" ,"" ,"70.0","" ,"70.2","" ,"69.5","70.0","" ,"70.2"
"04/27/2025 12:15:00 AM","" ,"70.0","" ,"" ,"70.2","" ,"70.2","" ,"69.4","70.1","" ,"70.0"
"04/27/2025 12:30:00 AM","" ,"70.0","" ,"" ,"70.1","" ,"70.2","" ,"69.4","70.1","" ,"70.0"
"04/27/2025 12:45:00 AM","" ,"70.0","" ,"" ,"69.8","" ,"69.7","" ,"69.4","70.1","" ,"69.9"
"04/27/2025 01:00:00 AM","" ,"70.0","" ,"" ,"69.8","" ,"69.6","" ,"69.5","70.0","" ,"70.0"
"04/27/2025 01:15:00 AM","" ,"70.0","" ,"" ,"70.1","" ,"70.0","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 01:30:00 AM","" ,"70.0","" ,"" ,"70.1","" ,"70.1","" ,"69.5","70.1","" ,"70.1"
"04/27/2025 01:45:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.1","" ,"69.5","70.1","" ,"70.0"
"04/27/2025 02:00:00 AM","" ,"69.9","" ,"" ,"70.1","" ,"70.1","" ,"69.5","70.1","" ,"70.0"
"04/27/2025 02:15:00 AM","" ,"70.0","" ,"" ,"70.0","" ,"70.1","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 02:30:00 AM","" ,"70.0","" ,"" ,"70.0","" ,"70.1","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 02:45:00 AM","" ,"70.0","" ,"" ,"70.0","" ,"70.1","" ,"69.5","70.0","" ,"70.0"
"04/27/2025 03:00:00 AM","" ,"70.0","" ,"" ,"70.0","" ,"70.1","" ,"69.5","70.0","" ,"70.0"
"04/27/2025 03:15:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.0","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 03:30:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.1","" ,"69.5","70.0","" ,"70.0"
"04/27/2025 03:45:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.1","" ,"69.5","70.0","" ,"70.0"
"04/27/2025 04:00:00 AM","" ,"69.9","" ,"" ,"69.9","" ,"70.0","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 04:15:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.1","" ,"69.4","70.0","" ,"70.0"
"04/27/2025 04:30:00 AM","" ,"69.9","" ,"" ,"70.0","" ,"70.1","" ,"69.4","70.0","" ,"70.0"
