Curing time (days),Lime water (N/mm2),Nylon covering (N/mm2),Water (N/mm2),Air-drying (N/mm2),Wet rug covering (N/mm2)
0,,,,,
3,,,8.414656881,7.389462623,
6,11.04970166,9.998359305,9.203806849,8.997791953,8.847335288
9,13.04632145,11.62297428,10.62240698,10.87253538,10.3296075
12,14.96968257,14.07985612,13.49479718,12.64956534,12.20321096
15,16.64950614,15.93723722,15.441371,13.85649881,13.72017416
18,18.17134198,17.27538406,16.39218789,15.06814532,14.85915105
21,19.40873562,18.32905032,17.11773489,15.98975617,15.82016925
24,20.40055359,19.25156563,17.705234,16.78950141,16.60958835
27,21.30351187,19.93399779,18.19871721,17.58379816,17.2124339
30,21.9834541,20.48544137,18.60129291,18.24381058,17.82233239
33,22.5587583,20.90291603,18.9603357,18.85397069,18.32989072
36,23.00981303,21.23875312,19.26099317,19.47531008,18.80140727
39,23.4093356,21.51778647,19.51625167,20.05004686,19.23379397
42,23.76797497,21.76212981,19.74138744,20.63730511,19.64369262
45,24.09443922,21.98090871,19.96101754,21.27254775,20.03711798
48,24.3910697,22.19968761,20.15047198,21.81417132,20.40864247
51,24.6708726,22.4297305,20.32090443,22.30390541,20.76004051
54,24.9355363,22.61554977,20.48788749,22.74728458,21.09808467
57,25.1818774,22.7613187,20.63720956,23.26524289,21.42515905
60,25.42042861,22.90199182,20.77198243,23.86899692,21.75305358
63,25.64277747,23.0152137,20.90401549,24.3519277,22.08129492
66,25.84523355,23.12768537,21.02284922,24.8586264,22.38654741
69,26.03053613,23.23918855,21.12485491,25.35707455,22.67065984
72,26.19793957,23.34568539,21.20345543,25.83342646,22.93608104
75,26.34694674,23.35942124,21.26471115,26.25419679,23.17601238
78,26.48232265,23.37315709,21.3018612,26.73269276,23.41101524
81,26.58435266,23.37167655,21.33932191,27.15822286,23.64348917
84,26.64269405,23.34318638,21.31324059,27.5443888,23.83716303
87,26.67097425,,21.26352333,27.91111461,23.97355979
90,,,,,
93,,,,,
96,,,,,
99,,,,,
